Date,Open,High,Low,Close,Volume
2008-10-14,2159.34,2218.89,2128.31,2128.31,636016320
2008-10-15,2102.67,2102.67,2037.58,2059.39,435602496
2008-10-16,1949.15,1965.99,1902.28,1951.2,483100512
2008-10-17,1985.09,1991.07,1877.96,1878.51,480501888
2008-10-20,1910.82,1942.51,1884.43,1939.22,426892608
2008-10-21,1972.22,1988.71,1917.32,1920.79,397625696
2008-10-22,1875.65,1894.87,1809.02,1821.13,332620992
2008-10-23,1754.73,1784.48,1735.45,1745.67,372136512
2008-10-24,1722.35,1722.35,1590.36,1600.28,446661504
2008-10-28,1496.12,1666.49,1473.77,1666.49,548983296
2008-10-29,1734.66,1738.2,1614.08,1671.2,471836192
2008-10-30,1707.29,1836.67,1689.32,1801.91,710732032
2008-10-31,1774.26,1825.68,1771.86,1794.2,517984992
2008-11-03,1838.28,1892.81,1838.28,1883.75,453041600
2008-11-04,1871.37,1876.58,1826.1,1829.69,523380096
2008-11-05,1895.69,1933.51,1855.3,1868.82,755531200
2008-11-06,1798.15,1819.2,1777.15,1819.2,320980192
2008-11-07,1717.66,1863.49,1717.66,1863.49,470627904
2008-11-10,1904.64,1916.01,1846.77,1885.02,422938816
2008-11-11,1840.71,1868.19,1800.57,1806.96,363836512
2008-11-12,1797.12,1827.39,1778.82,1784.01,354502912
2008-11-13,1736.97,1755.47,1718.85,1755.47,298431616
2008-11-14,1800.92,1817.53,1746.56,1759.14,275440288
2008-11-17,1738.16,1769.47,1724.76,1749.67,194739904
2008-11-18,1725.49,1748.77,1691.76,1692.55,278780896
2008-11-19,1685.38,1701.64,1662.35,1665.59,350001600
2008-11-20,1619.16,1628.38,1594.93,1613.95,315743296
2008-11-21,1580.74,1670.68,1570.23,1662.1,335556608
2008-11-24,1664.53,1664.53,1618.58,1620.29,220915392
2008-11-25,1668.13,1690.82,1640.23,1653.25,393221696
2008-11-26,1653.82,1711.13,1643.68,1711.13,320315392
2008-11-27,1729.57,1736.07,1691.37,1710.52,410232288
2008-11-28,1704.15,1732.57,1685.13,1732.57,625293376
2008-12-01,1709.51,1724.57,1690.23,1690.23,429891392
2008-12-02,1643.63,1670.11,1639.18,1639.18,283297984
2008-12-03,1653.99,1670.19,1640.57,1640.57,292902688
2008-12-04,1662.57,1675.09,1643.68,1643.68,388749408
2008-12-05,1639.09,1678.31,1638.67,1659.17,248034496
2008-12-09,1717.27,1754.58,1715.45,1754.58,468415904
2008-12-10,1745.5,1844.03,1737.11,1821.7,547049024
2008-12-11,1819.54,1824.79,1785.57,1794.16,440423104
2008-12-12,1763.88,1788.38,1718.89,1740.34,390323200
2008-12-15,1780.29,1788.38,1762.77,1774.76,259456496
2008-12-16,1751.53,1782.09,1751.53,1782.09,235229296
2008-12-17,1805.74,1812.51,1779.29,1779.29,362041792
2008-12-18,1783.09,1798.95,1769.59,1798.95,325131296
2008-12-19,1787.05,1822.76,1779.93,1795.47,301582112
2008-12-22,1796.1,1803.91,1745.63,1745.63,197292400
2008-12-23,1750.14,1763.14,1718.51,1724.54,169966800
2008-12-24,1718.55,1752,1711.21,1736.99,90260096
2008-12-26,1738.36,1752.22,1725.61,1725.61,65988600
2008-12-29,1737.14,1780.57,1733,1780.57,115989600
2008-12-30,1780.84,1785.23,1762.47,1770.65,216090592
